Case,Trainer,Steam_Flow_Error,Reformer_Duty_Error,C2H6_Error,CH4_Error,H2_Error,O2_Error,Time_Cost(s)
20,ALAMO,2.128546399889311e-10,0.00016163258088929553,2.261579262445579e-05,0.0006984783161393116,6.714821773001756e-05,1.6873530270153095e-20,0.027406692504882812
1,NDCT,0.0003633763218665987,0.0015658198408405968,8.186578438020876e-06,0.0002464329701855131,6.290247130447124e-06,1.201348061207726e-22,0.05237865447998047
2,NDCT,0.006203709088335295,0.004863338297926017,4.967049847185226e-06,0.00014877767477500248,1.4027184652209979e-05,7.423900672874756e-23,0.050260066986083984
3,NDCT,0.0063396855869045435,0.006007368209937696,1.7436092874231323e-05,0.0005302484926820172,9.443455646962473e-06,1.744888779456085e-24,0.05316352844238281
4,NDCT,0.0014324493651856032,0.0008359515932603197,1.6874414479220315e-05,0.0005141594322447748,5.691905107019224e-06,6.575332964159634e-23,0.062139272689819336
5,NDCT,0.0011217189731614803,0.00013084768655214195,8.361248899892756e-05,0.0025440661235184014,5.120107638034721e-06,1.592275373807755e-22,0.05160093307495117
6,NDCT,0.0017731715829877978,0.001276450101019134,1.137672162390517e-05,0.00034625478553235167,5.670517303499323e-05,6.1634209836290975e-24,0.04998302459716797
7,NDCT,0.010970681229855903,0.010718229316399427,3.8732618509461077e-05,0.0011783220618371698,3.0188112410067802e-05,1.5336111099076305e-24,0.055094003677368164
8,NDCT,0.028523964988119987,0.01968535674801056,0.00025230710600666895,0.007675409524799615,3.302684505054887e-05,1.8788523510978107e-22,0.04837656021118164
9,NDCT,0.002509514451676693,0.001994236814854943,1.8226026141861338e-05,0.0005551532350260707,2.447687320772385e-06,3.6522188973082194e-23,0.05075573921203613
10,NDCT,0.0004382138747102472,0.0009098935679141555,2.771463974914198e-06,8.466607355598482e-05,7.06572434117092e-06,8.881091932583537e-23,0.049952030181884766
11,NDCT,0.001372349450711015,0.0010775939153548656,3.411533202693712e-05,0.0010376848991935708,6.847148907362932e-06,5.29623075816042e-23,0.06261491775512695
12,NDCT,0.003705762382489708,0.0024289787645122153,4.049614482196052e-05,0.0012336151417878666,1.2943285051525422e-05,2.751616702027324e-22,0.062108755111694336
13,NDCT,0.002207287008284678,0.002485166657983374,1.0202460436840952e-05,0.00030946252928039375,7.941021234914025e-06,4.0000263499779177e-23,0.3190114498138428
14,NDCT,0.0005147338171950719,4.6768824528332556e-05,1.3034221251496166e-05,0.000395652514281343,5.597546645919049e-06,8.381030989406145e-23,0.05830073356628418
15,NDCT,0.001986812638351726,0.001133242881693251,6.596937341358773e-05,0.0020077093123596623,6.5719339101266705e-06,1.630694852558625e-22,0.06110882759094238
16,NDCT,0.0070284244501278605,0.005961304782445525,9.058467000136374e-05,0.0027549626509176806,2.1400311099317726e-06,5.2500081515026963e-23,0.054097890853881836
17,NDCT,0.0003531268714800695,0.0008875105332922747,5.8601248144382785e-05,0.0017830833470180857,1.2475077483697916e-05,1.1796715666847335e-23,0.3085448741912842
18,NDCT,0.0011880508040212512,0.00039897141994864967,4.196672742213647e-05,0.00127798869362266,6.3463355846060665e-06,1.0002777558715396e-22,0.07866120338439941
19,NDCT,0.007717110883358297,0.0045372623484918,8.18480201911628e-05,0.002491557226745683,9.06656936505712e-06,9.572589049149783e-23,0.0629119873046875
20,NDCT,0.014387806678668454,0.013208449372047976,5.345415402656915e-05,0.0016269279550714527,2.807343132071871e-06,9.646766432956221e-23,0.06698489189147949
